Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,101.72000122070312,102.38999938964844,101.69000244140625,102.16999816894531,72.7574691772461,8580800
2014-01-03,101.80999755859375,102.44999694824219,101.76000213623047,102.16999816894531,72.7574691772461,4083800
2014-01-06,102.37999725341797,103.0,102.37000274658203,102.5999984741211,73.06369018554688,7796200
2014-01-07,102.81999969482422,102.98999786376953,102.55999755859375,102.86000061035156,73.24884033203125,4428100
2014-01-08,102.44999694824219,102.69000244140625,102.0999984741211,102.58000183105469,73.04943084716797,8513000
2014-01-09,102.97000122070312,103.20999908447266,102.51000213623047,103.18000030517578,73.47674560546875,6991100
2014-01-10,103.7699966430664,104.54000091552734,103.69000244140625,104.41000366210938,74.35263061523438,13197400
2014-01-13,104.51000213623047,105.13999938964844,104.47000122070312,104.93000030517578,74.72293090820312,9667400
2014-01-14,104.6500015258789,104.83000183105469,104.38999938964844,104.44999694824219,74.38111877441406,10343100
2014-01-15,104.04000091552734,104.51000213623047,103.93000030517578,104.33999633789062,74.30279541015625,7507500
2014-01-16,104.8499984741211,105.06999969482422,104.72000122070312,105.04000091552734,74.80126190185547,7137700
2014-01-17,104.86000061035156,105.5199966430664,104.79000091552734,105.4800033569336,75.11465454101562,7588600
2014-01-21,105.44999694824219,105.73999786376953,105.4000015258789,105.55999755859375,75.17157745361328,6436000
2014-01-22,105.37000274658203,105.75,105.23999786376953,105.30000305175781,74.98645782470703,4646700
2014-01-23,105.87999725341797,107.08999633789062,105.87999725341797,106.79000091552734,76.0475082397461,12960600
2014-01-24,107.19000244140625,107.48999786376953,106.98999786376953,107.4800033569336,76.53887939453125,11122200
2014-01-27,107.22000122070312,107.5999984741211,106.69999694824219,106.7300033569336,76.00479888916016,9218200
2014-01-28,106.91000366210938,106.98999786376953,106.55000305175781,106.98999786376953,76.18990325927734,5661500
2014-01-29,107.37000274658203,108.1500015258789,106.98999786376953,107.87000274658203,76.81659698486328,11709400
2014-01-30,107.47000122070312,107.66999816894531,107.11000061035156,107.55999755859375,76.59583282470703,5956900
2014-01-31,108.19999694824219,108.41000366210938,107.8499984741211,108.27999877929688,77.1085433959961,14690900
2014-02-03,107.79000091552734,109.33999633789062,107.61000061035156,109.31999969482422,78.0481185913086,20780300
2014-02-04,108.5199966430664,108.66999816894531,107.97000122070312,108.16000366210938,77.21995544433594,9573500
2014-02-05,107.69000244140625,107.77999877929688,107.01000213623047,107.16000366210938,76.50597381591797,10312200
2014-02-06,106.97000122070312,107.0199966430664,106.5199966430664,106.69999694824219,76.17757415771484,5708700
2014-02-07,106.45999908447266,107.22000122070312,106.44000244140625,106.79000091552734,76.2418212890625,7039200
2014-02-10,106.61000061035156,107.12000274658203,106.56999969482422,107.08999633789062,76.45599365234375,4370500
2014-02-11,106.61000061035156,106.69000244140625,106.16000366210938,106.47000122070312,76.01333618164062,5904900
2014-02-12,106.16999816894531,106.20999908447266,105.62000274658203,105.91999816894531,75.62066650390625,6723300
2014-02-13,106.58999633789062,106.7300033569336,106.30000305175781,106.5199966430664,76.049072265625,6874600
2014-02-14,106.56999969482422,106.63999938964844,106.2699966430664,106.58000183105469,76.09190368652344,4989100
2014-02-18,106.66000366210938,107.19999694824219,106.62000274658203,106.81999969482422,76.26322937011719,4855800
2014-02-19,107.18000030517578,107.18000030517578,106.30000305175781,106.37000274658203,75.94198608398438,5522500
2014-02-20,106.31999969482422,106.62999725341797,105.69000244140625,106.11000061035156,75.75634002685547,5103200
2014-02-21,105.94999694824219,106.68000030517578,105.94999694824219,106.66999816894531,76.15613555908203,5250700
2014-02-24,106.69999694824219,106.73999786376953,106.16999816894531,106.4000015258789,75.9634017944336,3816700
2014-02-25,106.91000366210938,107.36000061035156,106.88999938964844,107.3499984741211,76.64163208007812,6225400
2014-02-26,107.30999755859375,107.91999816894531,107.23999786376953,107.91999816894531,77.04859161376953,7203900
2014-02-27,108.27999877929688,108.55999755859375,108.0999984741211,108.51000213623047,77.46978759765625,5394700
2014-02-28,108.27999877929688,108.73999786376953,107.77999877929688,108.56999969482422,77.51264953613281,8462600
2014-03-03,108.87999725341797,109.18000030517578,108.63999938964844,109.02999877929688,78.03007507324219,11089400
2014-03-04,108.3499984741211,108.3499984741211,107.36000061035156,107.38999938964844,76.85630798339844,8068100
2014-03-05,107.33999633789062,107.77999877929688,107.19999694824219,107.62000274658203,77.0209732055664,4798500
2014-03-06,106.76000213623047,106.97000122070312,106.5199966430664,106.55999755859375,76.26239013671875,7418200
2014-03-07,105.63999938964844,106.16999816894531,105.5999984741211,105.88999938964844,75.78286743164062,8270300
2014-03-10,105.94000244140625,106.11000061035156,105.77999877929688,106.04000091552734,75.89013671875,3744300
2014-03-11,105.9800033569336,106.33999633789062,105.77999877929688,106.31999969482422,76.09059143066406,3815700
2014-03-12,106.91999816894531,107.26000213623047,106.77999877929688,107.05999755859375,76.6202163696289,6430500
2014-03-13,106.69999694824219,108.52999877929688,106.6500015258789,108.5,77.65074920654297,11815500
2014-03-14,108.97000122070312,108.9800033569336,108.31999969482422,108.5199966430664,77.66510772705078,9232800
2014-03-17,108.18000030517578,108.30000305175781,107.66999816894531,107.70999908447266,77.08537292480469,7381900
2014-03-18,107.68000030517578,108.1500015258789,107.5999984741211,108.0999984741211,77.36449432373047,4819500
2014-03-19,107.91999816894531,107.9800033569336,106.80999755859375,107.26000213623047,76.76335906982422,11557600
2014-03-20,107.08999633789062,107.62999725341797,106.98999786376953,107.06999969482422,76.62738800048828,5224400
2014-03-21,107.41000366210938,108.31999969482422,107.37000274658203,108.2300033569336,77.45755004882812,8986200
2014-03-24,108.05000305175781,109.08999633789062,107.94999694824219,109.0,78.008544921875,7536400
2014-03-25,108.41000366210938,108.81999969482422,108.16999816894531,108.58999633789062,77.71517181396484,5032000
2014-03-26,108.55000305175781,109.4800033569336,108.4800033569336,109.44000244140625,78.32355499267578,7147200
2014-03-27,109.63999938964844,110.38999938964844,109.41999816894531,109.98999786376953,78.71711730957031,9772200
2014-03-28,109.86000061035156,109.88999938964844,109.0199966430664,109.37000274658203,78.27340698242188,6027000
2014-03-31,108.73999786376953,111.06999969482422,108.33999633789062,109.0999984741211,78.08016967773438,7488400
2014-04-01,108.26000213623047,108.36000061035156,107.83999633789062,107.88999938964844,77.41289520263672,9067300
2014-04-02,107.38999938964844,107.55000305175781,107.16999816894531,107.2699966430664,76.968017578125,6887200
2014-04-03,107.5199966430664,107.94000244140625,107.44000244140625,107.73999786376953,77.30526733398438,4937400
2014-04-04,107.87000274658203,108.69000244140625,107.8499984741211,108.45999908447266,77.8218765258789,8977500
2014-04-07,108.62000274658203,109.29000091552734,108.5999984741211,109.11000061035156,78.28826141357422,7562500
2014-04-08,109.02999877929688,109.47000122070312,108.72000122070312,109.37000274658203,78.47480773925781,4213800
2014-04-09,108.87999725341797,109.3499984741211,108.63999938964844,108.83000183105469,78.08732604980469,5771500
2014-04-10,108.91999816894531,110.22000122070312,108.9000015258789,109.83999633789062,78.81204986572266,12706400
2014-04-11,110.54000091552734,110.79000091552734,110.12999725341797,110.7300033569336,79.4506607055664,10267000
2014-04-14,110.4800033569336,110.69999694824219,110.30000305175781,110.44000244140625,79.24253845214844,4142600
2014-04-15,110.61000061035156,111.51000213623047,110.3499984741211,111.12999725341797,79.73763275146484,7752000
2014-04-16,110.43000030517578,111.2699966430664,110.37999725341797,111.2699966430664,79.83812713623047,5523000
2014-04-17,111.37000274658203,111.44999694824219,109.69999694824219,110.05000305175781,78.96269989013672,8622500
2014-04-21,110.37000274658203,110.62000274658203,109.83999633789062,109.95999908447266,78.89813995361328,4316300
2014-04-22,109.66000366210938,110.48999786376953,109.61000061035156,110.33000183105469,79.16361999511719,5748700
2014-04-23,110.5999984741211,111.05000305175781,110.52999877929688,110.95999908447266,79.61569213867188,5748600
2014-04-24,110.44999694824219,111.20999908447266,110.44999694824219,111.16999816894531,79.76636505126953,6337800
2014-04-25,111.48999786376953,111.98999786376953,111.31999969482422,111.33000183105469,79.88117980957031,5976500
2014-04-28,111.11000061035156,111.27999877929688,110.55000305175781,110.79000091552734,79.49370574951172,7606000
2014-04-29,110.16999816894531,110.7300033569336,110.04000091552734,110.63999938964844,79.38602447509766,5235200
2014-04-30,110.72000122070312,111.26000213623047,110.37999725341797,111.0999984741211,79.71607971191406,7721400
2014-05-01,110.87999725341797,112.08000183105469,110.83999633789062,112.0199966430664,80.57130432128906,11556500
2014-05-02,111.54000091552734,113.0999984741211,111.30000305175781,112.70999908447266,81.06757354736328,12702100
2014-05-05,112.76000213623047,112.80999755859375,111.88999938964844,112.02999877929688,80.5785140991211,8043000
2014-05-06,112.11000061035156,112.69999694824219,112.04000091552734,112.4800033569336,80.90214538574219,6522600
2014-05-07,112.30999755859375,112.56999969482422,111.94000244140625,112.08000183105469,80.61448669433594,8199200
2014-05-08,112.33999633789062,112.76000213623047,111.45999908447266,111.5999984741211,80.26927185058594,10878800
2014-05-09,111.52999877929688,111.80999755859375,110.9800033569336,111.23999786376953,80.01023864746094,6000600
2014-05-12,111.01000213623047,111.12999725341797,110.54000091552734,110.79000091552734,79.68666076660156,4563800
2014-05-13,111.44000244140625,111.75,111.33000183105469,111.75,80.37712097167969,5501000
2014-05-14,112.62999725341797,113.2300033569336,112.55999755859375,112.95999908447266,81.24738311767578,8851400
2014-05-15,113.77999877929688,114.41000366210938,113.5999984741211,113.86000061035156,81.89476776123047,12627900
2014-05-16,113.61000061035156,114.0,113.41999816894531,113.54000091552734,81.66458892822266,5019200
2014-05-19,113.93000030517578,113.95999908447266,112.62000274658203,112.69999694824219,81.06044006347656,7403300
2014-05-20,112.5999984741211,113.4800033569336,112.58999633789062,112.94999694824219,81.24020385742188,6549800
